itemid	category	subcategory	title	description	attrs	price	is_proved	is_blocked	phones_cnt	emails_cnt	urls_cnt	close_hours
10000010	Транспорт	Автомобили с пробегом	Toyota Sera, 1991	Новая оригинальная линзованая оптика на ксеноне (ближний, дальний), новые задние фонари, новые 16-е диски, новая передняя резина, задние с небольшим износом. ^p Срочно! Торг! ^p Актуально, пока висит объявление!!!	"{""Год выпуска"":""1991"", ""Тип кузова"":""Купе"", ""Пробег"":""10 000 - 14 999"", ""Коробка передач"":""Автоматическая"", ""Объем двигателя"":""1.5"", ""Тип двигателя"":""Бензиновый"", ""Марка"":""Toyota"", ""Модель"":""Sera"", ""Цвет"":""Оранжевый"", ""Привод"":""Передний"", ""Руль"":""Правый"", ""Состояние"":""Не битый""}"	150000		0	0	0	0	0.03
10000025	Услуги	Предложения услуг	Монтаж кровли	Выполняем  монтаж кровли фальцевой ^p Тел:8@@PHONE@@	"{""Вид услуги"":""Ремонт, строительство""}"	0		0	1	0	0	22.38
10000094	Личные вещи	Одежда, обувь, аксессуары	Костюм Steilmann	Юбка и топ из панбархата. Под топ  трикотажная майка. Vобразный вырез спереди и сзади. На юбке по подолу мягкий волан. Длина приблизительно по колено (+3-4 см). Размер 40	"{""Вид одежды"":""Женская одежда"", ""Предмет одежды"":""Платья и юбки"", ""Размер"":""46–48 (L)""}"	1500		0	0	0	0	0.41
10000101	Транспорт	Автомобили с пробегом	Ford Focus, 2011	Автомобиль в отличном техническом состоянии, все работает, включается, переключается и т.д. Нареканий по подвеске, коробке и двигателю нет. Два комплекта резины зима/лето в отличном состоянии. Продается СРОЧНО в связи с семейными обстоятельствами!!! Возможен ТОРГ при осмотре в разумных пределах.	"{""Марка"":""Ford"", ""Модель"":""Focus"", ""Год выпуска"":""2011"", ""Пробег"":""80 000 - 84 999"", ""Тип кузова"":""Седан"", ""Цвет"":""Чёрный"", ""Объём двигателя"":""1.6"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	365000		0	0	0	0	8.87
10000132	Транспорт	Запчасти и аксессуары	Турбина 3.0 Bar	Продам турбину на двигатель V-6 . V-8 и мощнее 16 клапанов и выше.....	"{""Вид товара"":""Запчасти"", ""Тип товара"":""Для автомобилей""}"	5000		0	0	0	0	11.82
10000152	Транспорт	Автомобили с пробегом	ВАЗ 2115 Samara, 2005	Автомабиль вхорошем состаянием НЕ ГНЕЛАЯ борт комп музыка званите всё раскажу званите влюбое время 8 @@PHONE@@	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""2115 Samara"", ""Год выпуска"":""2005"", ""Пробег"":""140 000 - 149 999"", ""Тип кузова"":""Седан"", ""Цвет"":""Синий"", ""Объём двигателя"":""1.5"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	0		0	1	0	0	22.55
10000160	Транспорт	Автомобили с пробегом	ВАЗ 2105, 1998	машина в хорошем состояние! кузов родной салон не прокурен! больших вложений не требует!  все вопросы по телефону!	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""2105"", ""Год выпуска"":""1998"", ""Пробег"":""50 000 - 54 999"", ""Тип кузова"":""Седан"", ""Цвет"":""Зелёный"", ""Объем двигателя"":""1.5"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Задний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	48000		0	0	0	0	9.02
10000224	Недвижимость	Комнаты	Комната 12 м² в 3-к, 3/14 эт.	Сдам комнату на длительный срок. Желательно девушке без вредных привычек. Мебель (письменный стол, шкафы, кровать) ремонт. Оплата 5000 р + ком. услуги (счетчики воды). Проживание с хозяйкой.	"{""Тип объявления"":""Сдам"", ""Срок аренды"":""На длительный срок"", ""Комнат в квартире"":""3"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""3"", ""Этажей в доме"":""13-16"", ""Этажей в доме"":""14"", ""Тип дома"":""Кирпичный"", ""Адрес"":""Проспект Победы""}"	5000		0	0	0	0	0.74
10000243	Недвижимость	Дома, дачи, коттеджи	Дом 42 м² на участке 7 сот.	"Продается хороший 2х эт. Дом в пос.Победилово в садовом обществе ""РОСА"",Дом в хорошем состоянии первый этаж полностью из Кирпича,второй мансардный,имеется свет,вода,большой гараж, хорошая баня,до залива 300метров,очень живописное место для отдыха от города и сует. Отличное место для рыбалки,общая площадь участка 7 соток,размежованы по 3.5 сотки,вторые 3.5стоки только с насаждениями,без построек,Документы готовы,чистая продажа.Потробности по телефону.Примем в оплату ваше жилье.@@URL@@ ^p Альберт 8@@PHONE@@"	"{""Тип объявления"":""Продам"", ""Вид объекта"":""Дом"", ""Этажей в доме"":""2"", ""Расстояние до города, км"":""В черте города"", ""Материал стен"":""Кирпич"", ""Площадь участка"":""7""}"	490000		0	1	0	1	18.63
10000247	Транспорт	Запчасти и аксессуары	Подголовники ВАЗ 2109	Новые подголовники 2шт.	"{""Вид товара"":""Запчасти"", ""Тип товара"":""Для автомобилей""}"	300		0	0	0	0	2.86
