is_blocked                 0       1  frac_blocked          category (ENG)
category
Услуги                194991  124402      0.637988                services
Хобби и отдых         140201   57079      0.407123  hobbies and recreation
Для бизнеса            54755   13011      0.237622            for business
Работа                229834   19843      0.086336                    work
Личные вещи           577473   23440      0.040591           paraphernalia
Для дома и дачи       217133    6899      0.031773         home and garden
Животные              116484    3349      0.028751                 animals
Транспорт             665821   18036      0.027088          transportation
Бытовая электроника   376406    7510      0.019952    consumer electronics
Недвижимость         1147709    1427      0.001243             real estate

